Store,Name,Banner,Overall,Automotive,Energy Storage,Lighting,Special Order Hardware
343681,Quirindi Grain & Produce (Quirindi),Thrifty,-100.00%,-100.00%,-100.00%,-100.00%,
344861,Rainbow Beach Cooloola & Hardware (Rainbow Beach),-,-52.38%,-50.16%,-52.85%,,
346205,Raff Rural Mitre 10 (Pittsworth),Mitre 10,16.21%,13.34%,14.35%,56.54%,
346213,Raff Home Timber & Hardware (Millmerran),Home,-1.47%,-9.26%,-1.10%,-,
350538,Richardson's Home Timber & Hardware (Armidale),Home,5.88%,-40.70%,2.52%,45.76%,
351437,Riverina Co-operative Society (Wagga Wagga),Thrifty,25.42%,-80.87%,26.63%,65.58%,
352328,Roach's Home Timber & Hardware (Coonabarabran),Home,9.84%,-1.90%,13.08%,15.33%,
354423,Rohr's Home Timber & Hardware (Gilgandra),Home,15.89%,-3.28%,21.88%,10.83%,
356915,Roma Home Timber & Hardware (Roma),Home,18.69%,23.14%,18.38%,15.01%,
369686,Seymour Building Supplies (Gladesville),-,-17.07%,,-36.85%,7.34%,
390674,Sussex Inlet Home Hardware (Sussex Inlet),Home,21.01%,11.93%,25.15%,12.06%,
394809,Tallai Home Timber & Hardware (Tallai),Home,5.16%,8.24%,4.83%,6.55%,
396507,Tanilba Bay Home Timber & Hardware (Tanilba Bay),Home,-4.03%,-44.35%,10.99%,225.95%,
402032,Thompson's Home Timber & Hardware (Wauchope),Home,4.15%,151.08%,1.41%,-11.18%,
403501,Timbara Mentz Nurseries (Thornlands),-,-100.00%,,-100.00%,,
404228,Tinana Home Hardware (Tinana),Home,3.01%,4.07%,3.18%,0.48%,
405928,Tottenham Rural Trading (Tottenham),-,-7.58%,-29.37%,-4.28%,-18.63%,
408997,Tura Beach Garden Centre (Tura Beach),-,-100.00%,-100.00%,,,
410183,The Hardware Man Unanderra (Unanderra),-,-15.34%,,-18.18%,42.64%,
437764,Woodford Home Timber & Hardware (Woodford),Home,-2.81%,-18.84%,2.59%,-16.98%,
441220,Yates & Twomey (Gloucester),-,-26.41%,-50.00%,-23.09%,-100.00%,
