Store,Name,Banner,Overall,Automotive,Energy Storage,Lighting,Special Order Hardware
783668,Magnetic Island Mitre 10 (Nelly Bay),Mitre 10,-23.99%,15.01%,-23.87%,-73.00%,
783669,Sunshine Mitre 10 (Mareeba),Mitre 10,-6.40%,-10.96%,-4.06%,-11.52%,
783672,Mckays Fuel & Rural Supplies (Mount Perry),-,-41.45%,-,-69.46%,-100.00%,
783674,Blaxland Home Hardware (Blaxland),Home,-2.02%,2.52%,-4.22%,15.30%,
783677,Sunshine Mitre 10 (Caloundra),Mitre 10,1.42%,,1.42%,,
783678,Sunshine Mitre 10 (Dalby),Mitre 10,27.01%,5.20%,15.39%,93.68%,
783680,Gilgandra Mitre 10 (Gilgandra),Mitre 10,-18.20%,14.74%,-17.74%,-48.83%,
783681,Pilcher's Mitre 10 (Bowen),Mitre 10,-10.64%,-23.53%,-6.09%,-23.66%,
783682,Petries Mitre 10 (Taree),Mitre 10,-2.39%,220.35%,-15.74%,6.57%,
783684,Rural Supplies (Coolamon),-,-9.17%,-22.38%,7.44%,-,
783685,H. Fay & Sons True Value Hardware (Bingara),True Value,-36.12%,-43.04%,-13.42%,-20.77%,
783686,Taralga Rural (Taralga),-,-17.42%,-66.06%,-17.55%,163.76%,
783688,Petrie's Mitre 10 (Port Macquarie),Mitre 10,4.51%,-1.28%,4.55%,8.50%,
783689,Sunshine Mitre 10 (Roma),Mitre 10,14.97%,-7.13%,16.67%,25.07%,
783690,Budds Mitre 10 (Murwillumbah),Mitre 10,13.53%,-48.88%,19.64%,28.95%,0.00%
783692,Jeays Mitre 10 (Sandgate),Mitre 10,20.94%,-4.28%,18.10%,139.21%,
783693,Hendra Home Hardware (Hendra),Home,18.59%,-40.85%,17.15%,191.98%,
783694,Irons Mitre 10 (F&T) (Yeppoon),Mitre 10,-31.90%,-40.42%,-35.72%,26.24%,
783695,Bayside Bbqs And Outdoor Centre (Wynnum),-,89.63%,41.26%,99.14%,,
783696,Clermont Agencies (Clermont),-,5.04%,14.46%,6.59%,-35.11%,
783714,Baffle Creek Rural & Fishing Supplies (Baffle Creek),-,-18.18%,-12.51%,-19.38%,,
783716,Mr Cheap Home Hardware (Lightning Ridge),Home,-10.93%,-30.37%,-8.19%,2.63%,
783718,ISIS Hardware Mitre 10 (Childers),Mitre 10,2.73%,30.95%,9.03%,-4.23%,
783719,Nebo Rural Services Pty Ltd (Nebo),-,17.69%,17.69%,,,
783726,The Hardware Store (Leichhardt),-,-1.16%,-100.00%,1.51%,0.41%,
783727,Norfolk Stockfeeds (Norfolk Island),-,39.25%,,39.25%,,
783729,Sunshine Mitre 10 (Weipa),Mitre 10,-7.21%,-0.20%,7.39%,-63.84%,
783730,Macksville Mitre 10 (Macksville),Mitre 10,-0.15%,-24.79%,4.75%,1.88%,
783731,Mt Larcom Feed Shed & Farm Supplies (Mt Larcom),-,-94.08%,,-94.08%,,
783737,Lewis Bros Mitre 10 (Kenmore),Mitre 10,53.11%,33.77%,49.50%,117.63%,
783738,Marrickville Mitre 10 (Marrickville),Mitre 10,29.41%,77.64%,24.25%,147.13%,
783739,Nortruss Builders Supplies (Winnellie),-,-,-,,,
783745,Mossman Hardware (Mossman),-,-100.00%,,,-100.00%,
783747,Cairns Hardware (Edmonton),-,-100.00%,,,-100.00%,
783752,Gemfield Building Supplies (Rubyvale),-,-100.00%,-100.00%,-100.00%,,
783753,Christian Bailey Agencies (Norfolk Island),-,-2.76%,-12.44%,19.72%,-100.00%,
783754,Brodie Mitre 10 (Cloncurry),Mitre 10,1.02%,9.53%,-0.90%,-2.88%,0.00%
783756,Cairns Hardware Tool Shop (Cairns),-,-100.00%,-100.00%,,,
783759,Ace Hardware (Gin Gin),-,-30.68%,-,,-100.00%,
783771,Tamworth Building Supplies (Tamworth),-,-41.69%,,-41.69%,,
783772,Armidale Building Supplies (Armidale),-,-100.00%,,-100.00%,,
783773,Finlayson Timber & Hardware (Sumner Park),-,-,,-,,
783776,Murwillumbah Building Supplies (Murwillumbah),-,12.71%,5.72%,18.24%,-5.97%,
783777,Murwillumbah Garden Centre (Murwillumbah),-,67.48%,-,29.06%,,
783779,Goonellabah Building Supplies (Goonellabah),-,-,,-,,
783780,Ballina Building Supplies (Ballina),-,3.58%,,0.09%,22.71%,
783782,Casino Building Supplies (Casino),-,108.69%,,108.69%,,
783786,Swadling Timber & Hardware (St Peters),-,-89.71%,-89.71%,,,
783787,McDougall & Cruise Mitre 10 (Tumut),Mitre 10,-24.81%,-37.24%,-21.55%,-27.01%,
783797,Wondai Hardware & Trade Centre (Wondai),-,31.00%,2.20%,28.19%,172.93%,
783798,North Shore Timber & Hardware (Thornleigh),-,-33.00%,,-33.00%,,
783800,Aramac Cut Price (Aramac),-,-65.92%,-19.88%,-85.79%,-,
783801,North Shore Timber & Hardware (Chatswood),-,-100.00%,,-100.00%,,
783802,North Shore Timber & Hardware (Eastgardens),-,100.00%,,100.00%,,
783805,North Shore Timber & Hardware (Miranda),-,-,,-,,
783807,Canterbury Timber & Building Supplies (Strathfield South),-,0.89%,-2.23%,1.08%,,
783819,Rosewood Hardware (Rosewood),-,126.56%,-48.77%,-18.51%,-,
783821,Country Co True Value Hardware (Blackwater),True Value,-15.59%,-22.77%,-13.38%,-22.18%,
783823,Apollo Bay Gas & Electrical (Apollo Bay),-,-18.34%,,-59.75%,-,
783826,Newmarket Hardware (Newmarket),-,-78.80%,,-78.80%,,
783828,Eatons Mitre 10 (Ourimbah),Mitre 10,-6.86%,-59.02%,-2.70%,-2.15%,
783829,Gunning Ag & Water Solutions (Gunning),-,-34.88%,-51.91%,-23.07%,-83.71%,
783834,Lady Barron Store (Lady Barron),-,-32.58%,-30.83%,,-100.00%,
783835,Virginia Building Supplies (F&T) (Virginia),-,16.83%,,13.49%,-,
783843,Yorketown True Value Hardware (Yorketown),-,-99.15%,-100.00%,-99.03%,-100.00%,
783844,Mitchell's Mitre 10 (Cootamundra),Mitre 10,-10.97%,0.00%,-8.88%,-34.88%,
783849,Rochester Mitre 10 (Rochester),Mitre 10,-8.07%,-20.78%,-2.05%,-24.34%,
783852,Strathalbyn Mitre 10 (Strathalbyn),Mitre 10,6.76%,-9.16%,15.11%,-15.03%,0.00%
783856,Better Home Supplies (Port Pirie),-,-20.67%,,-30.79%,313.14%,
783858,Meadows Barn (Meadows),-,-20.41%,-18.74%,-20.65%,-20.20%,
783859,Casterton Farm Supplies (Casterton),-,-31.39%,-100.00%,-28.50%,-100.00%,
783861,J J S Glass & Co True Value Hardware (Junee),True Value,-26.68%,-17.83%,-29.81%,-30.39%,
783864,Petrie's Mitre 10 (Coffs Harbour),Mitre 10,-1.30%,-48.55%,-3.06%,20.83%,
783865,Sunlite Mitre 10 (Paddington),Mitre 10,0.75%,21.13%,-2.63%,20.88%,6.97%
783870,Capricorn True Value Hardware (Barcaldine),True Value,-6.07%,-24.16%,1.20%,-42.15%,
783871,Hps Machinery Parts (St George),-,18.75%,10.37%,18.79%,-,
783872,Hathway Farm Equipment (Kalannie),-,55.96%,133.61%,-43.93%,,
783875,Hughenden Mitre 10 (Hughenden),Mitre 10,44.92%,48.21%,44.57%,30.25%,
783879,Wee Waa Mitre 10 (Wee Waa),Mitre 10,60.21%,4.70%,95.49%,-25.59%,
783899,Auto & Marine Supplies Bay Islands (Macleay Island),-,-11.18%,19.74%,-26.67%,-100.00%,
783901,Penola Home Hardware (Penola),Home,3.03%,66.65%,-4.48%,139.47%,
783906,Coorow True Value Hardware (Coorow),True Value,-26.48%,20.20%,-32.86%,-81.26%,
783907,Mannum True Value Hardware (Mannum),True Value,7.27%,20.41%,10.65%,-44.44%,
783911,Thursday Island Mitre 10 (Thursday Island),Mitre 10,2.78%,-15.81%,17.61%,-14.88%,
783914,Harper Timber Mitre 10 Trade Centre (Pendle Hill),Mitre 10,-19.22%,85.04%,-44.89%,-,
783920,Callala Bay Hardware Nursery & Fishing (Callala Bay),-,-83.38%,-100.00%,-57.80%,-100.00%,
783945,Berlian Timbers (Mt Kuring-Gai),-,55.24%,,55.24%,,
783951,Murgon Mitre 10 (Murgon),Mitre 10,13.36%,-27.98%,24.78%,49.50%,
783953,Vila Distribution Hardware (Crestmead),-,-1.94%,-100.00%,0.00%,,
783960,Sunlite Mitre 10 (Newtown),Mitre 10,-2.60%,-16.82%,-1.07%,-14.24%,0.00%
783961,Minger's Mitre 10 (Kyabram),Mitre 10,-19.46%,-52.28%,-10.52%,-44.26%,
783967,Petrie's Mitre 10 Trade Centre (Orange),Mitre 10,-47.47%,-30.18%,-47.97%,,
783969,The Range Hardware & Hire Mitre 10 (Maleny),Mitre 10,5.22%,-11.69%,11.55%,-9.68%,
783970,Mawhood's Mitre 10 (Oberon),Mitre 10,0.67%,2.63%,1.28%,-16.11%,
783972,Fernvale Produce Mitre 10 (Fernvale),Mitre 10,34.37%,17.96%,21.07%,163.63%,
783973,Sunshine Mitre 10 (Kingaroy),Mitre 10,2.60%,-15.12%,7.74%,-12.71%,
783974,Glass House Mountains Mitre 10 (Glass House Mountain),Mitre 10,7.60%,-28.31%,13.75%,12.43%,
783975,Cervantes Hardware & Marine (Cervantes),-,12.55%,-17.43%,20.07%,-16.91%,
783976,Yamba Mitre 10 (Yamba),Mitre 10,16.80%,-100.00%,17.02%,16.43%,
783978,BMS Mitre 10 (F&T) (Toowoomba),Mitre 10,4.84%,-21.55%,10.76%,6.93%,-439.72%
783980,Blacktown Mitre 10 (Arndell Park),-,65.41%,-38.54%,92.80%,,
783989,Crameri's Mitre 10 Maryborough (Maryborough),Mitre 10,-11.03%,-30.21%,-4.88%,-25.79%,
783991,Woombye Rural Supplies (Woombye),-,-3.25%,-27.43%,-11.44%,410.88%,0.00%
783994,Warringah Timbers (Dee Why West),-,11.48%,-,2.81%,,0.00%
783995,Blackall True Value Hardware (Blackall),True Value,-6.75%,-19.32%,-4.34%,6.17%,
784000,Jenkins Home Hardware (Trafalgar),Home,8.93%,-39.57%,27.57%,-14.25%,
784010,Three Springs Iga (Three Springs),-,-100.00%,-100.00%,,,
784012,Healesville Timber & Hardware (Healesville),-,25.40%,,44.61%,-69.62%,
784024,The Lakes Timber & Building Supplies (Lakes Entrance),-,-4.47%,-49.69%,5.02%,-36.06%,
784028,Johnson Bros Mitre 10 (Mona Vale),Mitre 10,-13.21%,2.15%,-16.96%,2.20%,
784030,Barossa Mitre 10 (Nuriootpa),Mitre 10,-1.33%,2.39%,-1.01%,-3.83%,0.00%
784031,Canungra Hardware & Farm Supplies (Canungra),-,29.74%,111.97%,14.13%,95.50%,
784035,Peter Gerard (Alpha),-,31.53%,-19.32%,78.32%,-100.00%,
784037,Brookton Mitre 10 (Brookton),Mitre 10,-19.82%,18.14%,-17.13%,-48.83%,
784040,Horsham Mitre 10 (Horsham),Mitre 10,-18.87%,-57.60%,-17.99%,32.85%,
784041,Cobram Mitre 10 (Cobram),Mitre 10,-0.80%,-21.36%,4.49%,-17.94%,
784043,Rushworth Hardware Emporium (Rushworth),-,-26.86%,-,-31.82%,-8.08%,
784045,Belyando Mitre 10 (Clermont),Mitre 10,3.38%,34.27%,7.17%,-45.67%,
784049,Fagg's Mitre 10 (Wallington),Mitre 10,0.86%,-9.02%,3.19%,4.86%,
784051,Golden City Mitre 10 (Bendigo (Golden Square)),Mitre 10,-0.61%,-9.35%,0.47%,-7.96%,
784055,Kelly's Mitre 10 (Wodonga),Mitre 10,-6.77%,-21.70%,-7.10%,51.96%,
784058,David O Jones Mitre 10 (Stawell),Mitre 10,5.93%,-20.07%,16.36%,-37.84%,
784061,Emerald Coop Mitre 10 (Emerald),Mitre 10,-8.96%,-14.02%,-7.94%,-7.22%,
784067,Sunshine Mitre 10 (Bokarina),Mitre 10,9.34%,,11.59%,-100.00%,
784071,West Farm Supplies (Colbinabbin),-,-10.94%,104.92%,-30.87%,-,
784072,Emu Park Hardware & Garden (Emu Park),-,-65.76%,-36.87%,-73.81%,-53.92%,
784073,Peter's Mitre 10 (Brighton),Mitre 10,-5.38%,-11.10%,-4.45%,-3.83%,0.00%
784075,Biloela Mitre 10 (Biloela),Mitre 10,-8.52%,-26.66%,-26.59%,-11.39%,0.00%
784078,Emerald Mitre 10 (Emerald),Mitre 10,7.17%,-7.38%,10.90%,-11.31%,
784079,Woodend Hardware (Woodend),-,-3.51%,-23.34%,-0.39%,16.87%,
784082,Johnson & Rielly Mitre 10 (Niddrie),Mitre 10,7.22%,43.28%,2.90%,9.74%,
784084,Finch's Mitre 10 (Rockhampton Nth),Mitre 10,13.21%,15.17%,-0.43%,195.88%,
784091,Kalannie Agquip (Kalannie),-,-20.92%,-66.82%,-9.88%,,
784093,Porters Mitre 10 (Mackay),Mitre 10,-73.82%,-85.42%,-67.36%,-87.38%,
784095,Porters Building Supplies (Mackay),Mitre 10,-,,-,,
784096,Porters Mitre 10 (Sarina),Mitre 10,-15.32%,-7.98%,-5.96%,-46.76%,
784097,Porters Mitre 10 (Marian),Mitre 10,8.45%,61.13%,8.46%,-16.07%,
784099,Porters Mitre 10 (Cannonvale),Mitre 10,-40.06%,-100.00%,-39.23%,-43.12%,
784101,Coober Pedy Home Hardware (Coober Pedy),Home,12.00%,66.64%,12.18%,-16.40%,
784104,Shepparton Building Supplies (Shepparton),-,39.97%,,39.97%,,
784106,Moorabbin Mitre 10 (Moorabbin),Mitre 10,-19.94%,-37.98%,-18.11%,-59.89%,
784111,Peter's Mitre 10 (Caulfield),Mitre 10,13.25%,8.31%,10.19%,41.01%,
784113,Loch Sport Hardware & Garden Centre (Loch Sport),-,-45.45%,-100.00%,-6.02%,-100.00%,
784115,David O Jones Mitre 10 (Ararat),Mitre 10,28.75%,30.60%,37.35%,-35.26%,
784120,DeMar H Hardware (Clifton Hill),-,-3.03%,,-3.03%,,
784123,Cornwell's Mitre 10 (Doncaster East),Mitre 10,17.87%,2.75%,26.64%,-21.20%,
784130,Murphy's Mitre 10 (Monbulk),Mitre 10,-16.62%,-11.39%,-11.51%,-43.11%,
784135,Daylesford Hardware (Daylesford),-,-52.54%,-42.96%,-59.44%,-25.83%,
784138,Dahlsens (Bairnsdale),-,-31.79%,,-31.79%,,
784139,Dahlsens Mitre 10 (Myrtleford),Mitre 10,-17.64%,-6.48%,-24.37%,16.04%,
784152,Moura Mitre 10 (Moura),Mitre 10,-17.81%,1.47%,-16.21%,-40.73%,
784163,D & M Walsh Ind.Hardware & Farm Supplies (Koo Wee Rup),-,-61.18%,-100.00%,-60.65%,,
784164,Fagg's Mitre 10 (Torquay),Mitre 10,-1.35%,-33.87%,2.75%,0.00%,
784176,Staff Purchases Cod - Ravenhall (Derrimut),-,-100.00%,,-100.00%,,
784189,Martin's Mitre 10 (Richmond North),Mitre 10,-8.68%,25.65%,-4.90%,-46.97%,
784191,Yenckens Hardware Mansfield (Mansfield),-,41.33%,42.22%,28.99%,174.74%,
784192,Yenckens Hardware Alexandra (Alexandra),-,-60.13%,-24.20%,-67.80%,-43.32%,
784194,Yenckens Hardware Yea (Yea),-,17.78%,-22.74%,40.26%,112.49%,
784195,Finley IGA Plus Liquor (Finley),-,1.72%,1.72%,,,
784199,Nhill Mitre 10 (Nhill),Mitre 10,5.58%,-10.46%,13.03%,-51.83%,
784221,Springvale Hardware (Springvale),-,-22.30%,-47.29%,-14.46%,,
784237,Ballan True Value Hardware (Ballan),True Value,1.44%,-43.76%,7.29%,-32.45%,
784244,Fox Hay Timber & Hardware (Port Melbourne),-,0.00%,,0.00%,,
784251,Fagg's Mitre 10 (Geelong South),Mitre 10,-1.18%,-15.13%,0.82%,-1.52%,
784260,Heathcote Mitre 10 (Heathcote),Mitre 10,-20.31%,-13.66%,-22.20%,-8.59%,
784261,Metung Boating & Hardware (Paynesville),-,-,,,-,
784267,Diamond Valley Mitre 10 (Diamond Creek),Mitre 10,-7.92%,-21.94%,-6.15%,-7.34%,-81.09%
784270,Costa's Mitre 10 (F&T) (Hoppers Crossing),Mitre 10,46.12%,306.34%,36.24%,,
784272,Bayswater Mitre 10 (Bayswater),Mitre 10,5.78%,-21.26%,18.94%,-24.10%,
784276,Tallangatta True Value Hardware (Tallangatta),True Value,-16.35%,-77.14%,-8.86%,-100.00%,
784280,G & J Living-Birchip Hardware (Birchip),-,10.61%,-45.87%,24.87%,-54.69%,
784287,Van Steensel Timbers (Grantville),-,-46.08%,-50.00%,-41.60%,,
784289,Crisp & Taylor (Bright),-,-12.50%,-15.37%,31.05%,,
784290,Max MacLean & Co (Corowa),-,13.43%,86.51%,39.21%,2.70%,
784296,Echuca Disposals (Echuca),-,13.34%,0.00%,13.95%,,
784298,Geoffs Shed Tools & Hware (Kyabram),-,-,,-,,
784299,Bolt Boy (Smithton),-,-66.37%,,-100.00%,0.00%,
784303,Scanlons Dairy Centre (Terang),-,-80.13%,,-80.13%,,
784359,Campbells Wholesale (Cadoux),Mitre 10,-16.87%,0.00%,-20.91%,0.00%,
784361,Seymour Hardware Group (Seymour),Mitre 10,-32.04%,-79.09%,-20.15%,,
784362,Clennett's Mitre 10 (Moonah),Mitre 10,-6.98%,,-1.84%,-25.00%,
784366,Bargara Liberty (Bargara),-,21.78%,-32.01%,28.32%,353.54%,
784369,McLaren Vale Mitre 10 (Mclaren Vale),Mitre 10,-7.79%,-24.70%,-4.23%,-9.79%,
784371,Canegrowers Mitre 10 (Ingham),Mitre 10,25.85%,-13.46%,27.93%,28.24%,
784372,Port Lincoln Mitre 10 (Port Lincoln),Mitre 10,-28.33%,-83.89%,-27.39%,8.15%,
784377,Collinsville True Value Hardware (Collinsville),True Value,-6.12%,20.12%,-12.66%,-0.68%,
784387,Sunshine Mitre 10 (Bundaberg),Mitre 10,5.15%,11.04%,3.03%,12.32%,
784390,Viberts Mitre 10 (Tatura),Mitre 10,6.16%,-27.09%,18.29%,-35.86%,
784391,Parkside Mitre 10 (Ayr),Mitre 10,-13.78%,-,4.06%,-61.09%,
784392,Addison's Mitre 10 (Townsville),-,-87.17%,-74.37%,-83.13%,-100.00%,
784393,Beveridge's Mitre 10 (Warners Bay),Mitre 10,-17.46%,-45.88%,-10.88%,-42.05%,
784394,Katherine Mitre 10 (Katherine East),Mitre 10,-7.98%,-11.70%,-11.36%,15.59%,
784395,Tully Canegrowers Mitre 10 (Tully),Mitre 10,36.06%,34.21%,31.47%,42.32%,0.00%
784397,High Country Mitre 10 (Moranbah),Mitre 10,-15.48%,-11.71%,-19.73%,-8.88%,
784398,Woodman's (Mackay West),Mitre 10,-18.66%,-13.54%,-19.78%,-53.39%,
784399,Collins Bros (West Tamworth),-,-100.00%,-100.00%,-100.00%,-100.00%,
784401,Waratah Hardware (Katoomba),-,-10.27%,17.23%,-15.08%,-18.75%,
784405,Norco Rural Stores (Dungog),-,-60.41%,,-60.41%,,
784412,Staffords Building Supplies (Kalaru),-,19.26%,76.72%,7.47%,0.00%,
784414,Lock Tyres & Traders (Lock),-,-12.27%,-,-17.17%,0.00%,
784415,Hilberts Pty Ltd (Wauchope),-,-9.62%,-13.03%,-10.92%,10.31%,
784417,Nortons Building Supplies (Cooma),-,-50.00%,-50.00%,,,
784419,Neilsons Mitre 10 (Bermagui),Mitre 10,-1.02%,-13.00%,13.45%,-43.53%,-
784420,Better Homes Supplies Mitre 10 (Port Augusta),Mitre 10,11.64%,5.36%,10.82%,14.00%,0.00%
784421,Agies Rural Retail (Wee Waa),-,7.85%,-18.58%,17.97%,-11.70%,
784424,Timco Southcoast Mitre 10 (Port Elliot),Mitre 10,-14.74%,-6.97%,-14.80%,-24.90%,
784433,Kadina Mitre 10 (Kadina),Mitre 10,-8.82%,-46.71%,11.67%,-51.48%,
784435,Blackwood Home Hardware (Blackwood),Home,-7.21%,-4.80%,-9.94%,36.31%,
784437,Cleve Mitre 10 (Cleve),Mitre 10,-1.00%,-7.10%,0.80%,-14.02%,
784438,Balhannah Mitre 10 (F&T) (Balhannah),Mitre 10,-9.42%,12.06%,-17.88%,43.57%,
784439,Findon Mitre 10 (Kidman Park),Mitre 10,-58.70%,-50.03%,-58.38%,-72.28%,
784444,Gawler Mitre 10 (Gawler),Mitre 10,-7.76%,-27.49%,-5.17%,-3.17%,0.00%
784445,Barrow & Bench Mitre 10 (Malvern),Mitre 10,-11.12%,-26.59%,-11.20%,3.05%,
784447,Glynde Mitre 10 (Hectorville),Mitre 10,-4.79%,-20.40%,-1.75%,-22.64%,
784449,Eaton's True Value Hardware (Cooranbong),True Value,54.36%,-16.08%,96.55%,-9.44%,
784452,Wills & Co Mitre 10 (Waikerie),Mitre 10,-8.31%,-24.64%,-2.08%,-14.47%,
784454,Maitland True Value Hardware (Maitland),True Value,-32.69%,-76.58%,17.42%,-55.92%,
784455,Tumby Bay Mitre 10 (Tumby Bay),Mitre 10,-18.57%,-26.18%,-19.73%,4.17%,
784456,Border Builders Mitre 10 (Goondiwindi),Mitre 10,0.00%,47.52%,-0.17%,-4.61%,
784459,Brighton Mitre 10 (Brighton),Mitre 10,3.85%,-1.35%,6.80%,-12.67%,
784462,Normanville Mitre 10 (Normanville),Mitre 10,2.22%,-1.39%,3.57%,-4.36%,
784463,Pink's Mitre 10 (Clare),Mitre 10,0.49%,-18.81%,2.58%,11.62%,
784473,Eatons Mitre 10 (Cessnock),Mitre 10,-21.48%,-51.96%,-17.33%,-37.96%,
784475,Lameroo Home Hardware (Lameroo),Home,7.15%,4.18%,22.52%,-88.01%,
784477,Wct Rural (Elliston),-,-49.15%,-0.90%,-65.64%,-38.92%,
784480,Stirling Mitre 10 (Stirling),Mitre 10,-1.19%,-18.94%,3.29%,-9.28%,
784483,Virginia Mitre 10 (Virginia),Mitre 10,-2.49%,-14.57%,-1.26%,-2.68%,
784487,Tower Mitre 10 (Charleville),Mitre 10,-32.17%,-58.66%,-26.73%,-62.33%,
784488,Hammond's Mitre 10 (Tumbarumba),Mitre 10,-1.79%,-37.00%,10.26%,-17.08%,
784489,Adkin's True Value Hardware (Broken Hill),True Value,48.43%,163.30%,13.95%,54.46%,
784491,TJ's One Stop (Borroloola),-,21.06%,31.51%,28.45%,-2.51%,0.00%
784493,Beck's Mitre 10 (Streaky Bay),Mitre 10,11.65%,-15.43%,17.77%,12.40%,
784495,Camden Mitre 10 (Camden),Mitre 10,-8.21%,-16.64%,-5.06%,-18.53%,
784496,Picton Mitre 10 (Picton),Mitre 10,-30.02%,-15.94%,-35.62%,-0.96%,
784502,Lagana Brothers True Value Hardware (Lyndoch),True Value,-28.58%,-39.07%,-26.26%,-18.61%,
784504,Dalrymple Motors (Stansbury),-,36.52%,,-45.45%,-,
784510,Flinders Mitre 10 (F&T) (Aldinga),Mitre 10,-26.58%,-100.00%,-20.34%,-10.73%,
784512,Narooma Mitre 10 (Narooma),Mitre 10,-19.64%,-25.53%,-24.30%,114.74%,
784514,Gracemere Hware & Gden Ctr (Gracemere),-,-20.20%,-,-100.00%,-52.83%,
784516,Eatons Mitre 10 (Singleton),Mitre 10,-2.98%,-23.00%,-1.05%,15.63%,
784522,Car Parts (N.T.) (Katherine),-,-38.62%,,-38.62%,,
784523,Liessmann & Sons (Home Hill),-,-16.57%,-79.36%,-16.73%,16.34%,
784525,Blackheath Mitre 10 (Blackheath),Mitre 10,-10.71%,-11.70%,-10.08%,-14.21%,
784526,Parkside Timber and Hardware (F&T) (Townsville),-,-31.32%,-100.00%,16.14%,-100.00%,
784527,Humpty Doo Hardware (Humpty Doo),-,-7.92%,,-13.22%,47.28%,
784533,Eaton's Mitre 10 (Forestville),Mitre 10,-12.98%,-13.33%,-16.04%,19.92%,
784535,IGA Sedan (Sedan),-,104.14%,9.42%,56.32%,,0.00%
784539,S.E. Waite & Son (Norwood),-,-9.39%,0.00%,-8.79%,-0.68%,0.00%
784541,Jock Ross Mitre 10 (Tenterfield),Mitre 10,-26.05%,-64.92%,-27.34%,0.82%,
784543,Wynyard Timber & Hardware (Wynyard),-,-40.03%,,-40.03%,,
784544,Westbury True Value Hardware (Westbury),True Value,0.38%,-23.07%,10.55%,43.25%,
784547,Liverpool Mitre 10 (Liverpool),Mitre 10,-17.24%,-100.00%,-16.68%,-9.56%,
784561,Exeter Mitre 10 (Exeter),Mitre 10,11.45%,11.86%,10.06%,20.31%,
784563,Cygnet Mitre 10 (Cygnet),Mitre 10,-4.80%,-0.07%,-8.20%,14.71%,
784564,Jindabyne Mitre 10 (Jindabyne),Mitre 10,-9.13%,-8.28%,-10.54%,-3.74%,0.00%
784565,Johnson Bros Mitre 10 (Avalon Beach),Mitre 10,-7.42%,-12.19%,-5.89%,-6.15%,0.00%
784566,Clennett's Mitre 10 (Kingston),Mitre 10,-26.94%,-46.22%,-24.27%,-18.71%,
784567,Clennett's Mitre 10 (Huonville),Mitre 10,-2.24%,0.58%,-2.16%,5.95%,-511.81%
784568,Clennett's Mitre 10 Trade Centre (Mornington),Mitre 10,9.94%,-100.00%,18.80%,,
784569,Tara Home Hardware (Tara),Home,-1.22%,-18.98%,3.13%,-15.04%,
784570,Millers Mitre 10 (Narangba),Mitre 10,0.42%,7.67%,-2.34%,145.73%,
784571,Cooma Mitre 10 (Cooma),Mitre 10,-6.57%,14.98%,-7.99%,-15.06%,
784572,Leather's Home Hardware (Aitkenvale),Home,2.58%,-1.49%,7.54%,-54.96%,
784573,Kincumber Mitre 10 (Kincumber),Mitre 10,-1.59%,-5.24%,-0.81%,-2.57%,
784575,Millmerran Mitre 10 (Millmerran),Mitre 10,-7.22%,-27.41%,-5.38%,46.79%,
784577,Coolum Beach Mitre 10 (Coolum Beach),Mitre 10,2.43%,-22.96%,5.62%,26.09%,
784578,Smith Bros Mitre 10 (Longreach),Mitre 10,-3.16%,7.05%,-3.54%,-9.77%,
784579,Thompson's Home Hardware (Cunnamulla),Home,-9.44%,-2.63%,-22.65%,89.48%,
784580,Ingham Manufactures Mitre 10 (Ingham),Mitre 10,12.45%,-35.30%,9.40%,37.73%,
784582,Pomona Home Hardware (Pomona),Home,6.83%,25.11%,4.48%,13.75%,
784583,Taroom Mitre 10 (Taroom),Mitre 10,-15.83%,-10.73%,-15.41%,-27.33%,
784586,Petrie's Mitre 10 (Mudgee),Mitre 10,-3.61%,3.07%,-2.22%,-24.48%,
784587,Petrie's Mitre 10 (Bathurst),Mitre 10,-18.46%,-28.91%,-10.44%,-69.23%,0.00%
784588,Boonah Mitre 10 (Boonah),Mitre 10,-6.53%,-0.50%,-8.01%,-1.13%,
784589,Mission Beach Mitre 10 (Mission Beach),Mitre 10,-16.52%,2.83%,-0.49%,-68.65%,
784590,Kalbar Mitre 10 (Kalbar),Mitre 10,4.30%,11.70%,0.66%,29.91%,
784591,Thornton's Mitre 10 (Denmark),Mitre 10,15.34%,2.49%,19.24%,-5.72%,
784594,Narembeen Hardware & Ag Sup (Narembeen),-,-11.29%,-16.70%,-9.07%,-25.57%,
784595,Koorda Ag Parts (Koorda),-,174.80%,518.10%,24.49%,,
784597,Goomalling Farm Shed (Goomalling),-,-0.65%,-31.54%,0.63%,1.53%,0.00%
784598,Shark Bay True Value Hardware (Denham),True Value,18.19%,-0.08%,11.03%,133.44%,
784601,Ewen Rural Supplies (Wickepin),-,-6.82%,-15.47%,-4.55%,,
784605,Northcliffe Farm & Trade (Northcliffe),-,22.70%,-35.37%,31.25%,0.51%,
784608,Kukerin General Store (Kukerin),-,44.16%,-18.95%,,-,
784612,Direct Trades Supply Pty Ltd (Maddington),-,-45.52%,120.11%,,-100.00%,0.00%
784614,Lancelin Hardware & Hire (Lancelin),-,-11.64%,-42.85%,-8.82%,,
784615,Merchants Of Swanbourne (Swanbourne),-,-35.31%,,-35.31%,,
784620,Three Springs Rural Services (Three Springs),-,40.16%,-,37.83%,5.80%,
784621,East Kimberley Mitre 10 (Kununurra),Mitre 10,-15.52%,-14.17%,-20.48%,43.21%,
