OFFER	Offer Group	Offer Tier	Drop Months	Order Deadline	Min Order Value (ex GST)	Brand	Range	Energizer Order Code	HTH Code	Code	Description	Reg Charge Back Cost	Expo Charge Back Cost	Save	SRP / Promo RRP	$ GM	% GM	Qty Type	Qty	Reg Total Cost	Expo Total Cost
Energizer 7	ENERGIZER TOWER BIN DISPLAY	Display Pre-Pack	MARCH; MAY; JULY	End of July 2026	250	Energizer	Max Display	PRE-PACK	770003	6295703	Energizer TOWER Pre Pack	1000.72	500.96	50%	N/A	-	-	Bin QTY	1	-	-
Energizer 7	ENERGIZER TOWER BIN DISPLAY	Display Component	MARCH; MAY; JULY	End of July 2026	250	Energizer	Max Display	E300162001	2482628	E91BP4	Energizer MAX AA 10pk	-	-	-	-	-	-	Bin QTY	10	-	-
Energizer 7	ENERGIZER TOWER BIN DISPLAY	Display Component	MARCH; MAY; JULY	End of July 2026	250	Energizer	Max Display	E000029100	2481877	E91HP10	Energizer MAX AAA 8pk	-	-	-	-	-	-	Bin QTY	12	-	-
Energizer 7	ENERGIZER TOWER BIN DISPLAY	Display Component	MARCH; MAY; JULY	End of July 2026	250	Energizer	Max Display	E300577502	2481539	E92BP4	Energizer MAX AA 16pk	-	-	-	-	-	-	Bin QTY	12	-	-
Energizer 7	ENERGIZER TOWER BIN DISPLAY	Display Component	MARCH; MAY; JULY	End of July 2026	250	Energizer	Max Display	E300573601	2546265	E92BP8	Energizer MAX AAA 14pk	-	-	-	-	-	-	Bin QTY	12	-	-
Energizer 7	ENERGIZER TOWER BIN DISPLAY	Display Component	MARCH; MAY; JULY	End of July 2026	250	Energizer	Max Display	E000040400	2481380	E93BP2	Energizer MAX PLUS AA 10pk	-	-	-	-	-	-	Bin QTY	12	-	-
Energizer 7	ENERGIZER TOWER BIN DISPLAY	Display Component	MARCH; MAY; JULY	End of July 2026	250	Energizer	Max Display	E000040500	2481810	E95BP2	Energizer MAX PLUS AA 10pk	-	-	-	-	-	-	Bin QTY	12	-	-
Energizer 8	ENERGIZER HEADLIGHT RANGE OFFER	Range Offer	MARCH; MAY; JULY	End of July 2026	250	Energizer	Headlights Vision	E303835200	7144728	HDL10	HEADLIGHT VISION 250 LUMENS	18.4	12.88	30%	28.95	13.44	51%	Minimum QTY	8	147.2	103.04
Energizer 8	ENERGIZER HEADLIGHT RANGE OFFER	Range Offer	MARCH; MAY; JULY	End of July 2026	250	Energizer	Headlights Vision	E303836000	7144736	HDL30	HEADLIGHT VISION 400 LUMENS	38.32	26.82	30%	49.95	18.59	41%	Minimum QTY	8	306.56	214.56
Energizer 8	ENERGIZER HEADLIGHT RANGE OFFER	Range Offer	MARCH; MAY; JULY	End of July 2026	250	Energizer	Headlights Vision	E303836400	7144744	HDL50	HEADLIGHT VISION 500 LUMENS	59.26	41.48	30%	75	26.7	39%	Minimum QTY	8	474.08	331.84
Energizer 9	ENERGIZER LIGHTS RANGE OFFER	Range Offer	MARCH; MAY; JULY	End of July 2026	250	Eveready	Dolphin	E300689700	5262290	DOLLN6V	EVEREADY DOLPHIN LANTERN	20.13	14.09	30%	29.7	12.91	48%	Minimum QTY	8	161.04	112.72
