Store,Storeid,Suburb,State,Postcode,RANK,Banner,Group,,,,,,,,,,,
MALONEYS GROCER SURRY HILLS,32183,SURRY HILLS,NSW,2010,1780,Friendly Grocer,,,,,,,,,,,,
IGA M SUTHERLAND - VICS FRESH IGA M SUTHERLAND,53365,SUTHERLAND,NSW,1499,579,IGA Medium,GEORGE ACHRAM,,,,,,,,,,,
IGA M LOCALI BY ROMEO'S - GEORGE STREET,82212,SYDNEY,NSW,2000,839,IGA Medium,ROMEO,,,,,,,,,,,
IGA M LOCALI BY ROMEOS - WYNYARD,241463,WYNYARD,NSW,2000,1104,IGA Medium,ROMEO,,,,,,,,,,,
IGA M MLC CENTRE,127823,SYDNEY,NSW,2000,621,IGA Medium,ROMEO,,,,,,,,,,,
IGA M QUAY QUARTER PLUS LIQ,15831,SYDNEY,NSW,2000,771,IGA Medium,HU AND LI,,,,,,,,,,,
RAPID RELIEF TEAM FWKS,296660,SYDNEY,NSW,2000,2174,Foodworks,-,,,,,,,,,,,
BERNARDI'S SYDNEY WAREHOUSE,253307,SYDNEY,NSW,2000,1421,Independents Other,BERNARDI,,,,,,,,,,,
CENTRO BATHURST ST SYDNEY FGRC,268563,SYDNEY,NSW,2000,1756,Friendly Grocer,KHASSAWNEH GROUP,,,,,,,,,,,
IGA M FIGTREE DRIVE,241472,SYDNEY OLYMPIC PARK,NSW,2127,758,IGA Medium,,,,,,,,,,,,
IGA LOCAL GROCER SYLVANIA,52918,SYLVANIA,NSW,2224,1379,IGA Local Grocer,,,,,,,,,,,,
TABULAM FAMILY MART*NCW,187307,TABULAM,NSW,2469,1625,Foodworks,-,,,,,,,,,,,
IGA L TAMWORTH (CARLO'S),18584,TAMWORTH,NSW,2340,726,IGA Large,CAVALLARO GROUP,,,,,,,,,,,
CAMPUS & CO TAMWORTH FWKS,279330,TAMWORTH,NSW,2340,2103,Foodworks,-,,,,,,,,,,,
IGA L TAREE (RITCHIES),72014,TAREE,NSW,2430,473,IGA Large,RITCHIES,,,,,,,,,,,
FRIENDLY GROCER TAREE WEST PLUS LIQUOR,419,TAREE WEST,NSW,2430,1773,Friendly Grocer,ROLDEN GROUP,,,,,,,,,,,
IGA L TAREN POINT (RITCHIES),3892,TAREN POINT,NSW,2229,35,IGA Large,RITCHIES,,,,,,,,,,,
FWKS TARRAWANNA,44592,TARRAWANNA,NSW,2518,1277,Foodworks,,,,,,,,,,,,
FRIENDLY GROCER TATHRA,10617,TATHRA,NSW,2550,1319,Friendly Grocer,,,,,,,,,,,,
IGA LOCAL GROCER TELARAH,9045,TELARAH,NSW,2320,972,IGA Local Grocer,UNIMARK GROUP,,,,,,,,,,,
GRANDMA'S SECRET  ORCHARD,47484,TELOPEA,NSW,2117,1351,Foodworks,,,,,,,,,,,,
FGRC TEMORA,32928,TEMORA,NSW,2666,934,Friendly Grocer,GHOSH,,,,,,,,,,,
FOODWORKS TENAMBIT,11898,TENAMBIT,NSW,2323,1460,Foodworks,,,,,,,,,,,,
FOODWORKS TENNYSON POINT,18372,TENNYSON POINT,NSW,2111,2028,Foodworks,,,,,,,,,,,,
FOODWORKS TENTERFIELD,20116,TENTERFIELD,NSW,2372,850,Foodworks,,,,,,,,,,,,
IGA LOCAL GROCER TERRANORA,47276,TERRANORA,NSW,2486,1586,IGA Local Grocer,,,,,,,,,,,,
FRIENDLY GROCER TERREY HILLS,11943,TERREY HILLS,NSW,2084,1599,Friendly Grocer,,,,,,,,,,,,
IGA LOCAL GROCER THE OAKS,21250,THE OAKS,NSW,2570,1303,IGA Local Grocer,,,,,,,,,,,,
FWKS ROCKMART,2828,THE ROCK,NSW,2655,1505,Foodworks,LORDVENK,,,,,,,,,,,
IGA LOCAL GROCER THIRLMERE,21568,THIRLMERE,NSW,2572,1120,IGA Local Grocer,SKSIN,,,,,,,,,,,
IGA M THIRROUL,53367,THIRROUL,NSW,2515,249,IGA Medium,NEXUS,,,,,,,,,,,
FOODWORKS THREDBO,32690,THREDBO,NSW,2625,1651,Foodworks,,,,,,,,,,,,
TINONEE GENERAL STORE,14331,TINONEE,NSW,2430,1941,Friendly Grocer,,,,,,,,,,,,
IGA M MARCH'S TOCUMWAL PLUS LIQUOR,7860,TOCUMWAL,NSW,2714,406,IGA Medium,,,,,,,,,,,,
IGA M THE MOORINGS TOMAKIN,53190,TOMAKIN,NSW,2537,610,IGA Medium,MOONS,,,,,,,,,,,
MINT FRESH IGA FITZWILLIAM,52449,TOONGABBIE,NSW,2146,819,IGA Medium,RIZK,,,,,,,,,,,
IGA M TOONGABBIE MINT FRESH,21509,TOONGABBIE,NSW,2146,1088,IGA Medium,RIZK,,,,,,,,,,,
FOODWORKS TOTTENHAM,16666,TOTTENHAM,NSW,2873,1522,Foodworks,PATEL GROUP,,,,,,,,,,,
FGRC TRANGIE,8894,TRANGIE,NSW,2823,1280,Friendly Grocer,GHOSH,,,,,,,,,,,
IGA M TREGEAR,21216,TREGEAR,NSW,2770,482,IGA Medium,PAREKH GROUP,,,,,,,,,,,
IGA M TUMBARUMBA,5899,TUMBARUMBA,NSW,2653,268,IGA Medium,MALWA,,,,,,,,,,,
IGA LOCAL GROCER TUROSS HEAD,3383,TUROSS HEAD,NSW,2537,1100,IGA Local Grocer,B & K BHINDER,,,,,,,,,,,
IGA LOCAL GROCER KISSING POINT ROAD,83639,TURRAMURRA,NSW,2074,1630,IGA Local Grocer,,,,,,,,,,,,
IGA LOCAL GROCER TURRAMURRA (CHRISS),20446,TURRAMURRA,NSW,2074,1009,IGA Local Grocer,CHRISS,,,,,,,,,,,
IGA M TURRAMURRA PLAZA (CORP),21451,TURRAMURRA,NSW,2074,633,IGA Medium,METCASH CORP,,,,,,,,,,,
FWKS TURVEY PARK,13900,TURVEY PARK,NSW,2650,529,Foodworks,REDDROPS,,,,,,,,,,,
IGA LOCAL GROCER TWEED HEADS,21388,TWEED HEADS,NSW,2485,1096,IGA Local Grocer,,,,,,,,,,,,
IGA M UMINA BEACH,126241,UMINA BEACH,NSW,2257,300,IGA Medium,WHITEHEAD,,,,,,,,,,,
FOODWORKS UNANDERRA,41297,UNANDERRA,NSW,2526,1449,Foodworks,RABAY,,,,,,,,,,,
FOODWORKS URALLA,406,URALLA,NSW,2358,885,Foodworks,,,,,,,,,,,,
FOODWORKS URUNGA,15402,URUNGA,NSW,2455,1448,Foodworks,,,,,,,,,,,,
FOODWORKS VALENTINE,94235,VALENTINE,NSW,2280,1707,Foodworks,,,,,,,,,,,,
IGA M WAGGA ON BOURKE ST,7272,WAGGA WAGGA,NSW,2650,657,IGA Medium,-,,,,,,,,,,,
APCO WAGGA WAGGA VLG GRCR,227033,WAGGA WAGGA,NSW,2650,1296,Independents Other,APCO,,,,,,,,,,,
CAMPUS & CO WAGGA (FWKS),246390,WAGGA WAGGA,NSW,2650,2127,Foodworks,,,,,,,,,,,,
VILLAGE GROCER EAST WAHROONGA,117958,WAHROONGA,NSW,2076,2032,Independents Other,RAWAT,,,,,,,,,,,
IGA LG FOX VALLEY,63688,WAHROONGA,NSW,2076,1779,IGA Local Grocer,pillay,,,,,,,,,,,
IGA LOCAL GROCER WAHROONGA,6420,WAHROONGA,NSW,2076,1055,IGA Local Grocer,,,,,,,,,,,,
IGA L WAKELEY,21461,WAKELEY,NSW,2176,497,IGA Large,KHAN,,,,,,,,,,,
IGA M WALCHA PLUS LIQUOR (CARLO'S),5481,WALCHA,NSW,2354,591,IGA Medium,CAVALLARO GROUP,,,,,,,,,,,
FOODWORKS WALCHA,6424,WALCHA,NSW,2354,1516,Foodworks,SIMRA,,,,,,,,,,,
IGA M WALGETT,12653,WALGETT,NSW,2832,160,IGA Medium,PAREKH GROUP,,,,,,,,,,,
FWKS WALLERAWANG,14216,WALLERAWANG,NSW,2845,1665,Foodworks,,,,,,,,,,,,
IGA M WANGI WANGI (CHRISS),20954,WANGI WANGI,NSW,2267,895,IGA Medium,CHRISS,,,,,,,,,,,
IGA M WARIALDA (CARLO'S),41187,WARIALDA,NSW,2402,630,IGA Medium,CAVALLARO GROUP,,,,,,,,,,,
VILLAGE GROCER WARRAWONG,52603,WARRAWONG,NSW,2502,1609,Independents Other,,,,,,,,,,,,
IGA M WARREN,1394,WARREN,NSW,2824,238,IGA Medium,,,,,,,,,,,,
IGA LOCAL GROCER WARRIEWOOD,84818,WARRIEWOOD,NSW,2102,1162,IGA Local Grocer,ZHANG AND LIANG,,,,,,,,,,,
IGA M WATERLOO,4647,WATERLOO,NSW,2017,659,IGA Medium,HU AND LI,,,,,,,,,,,
FRIENDLY GROCER WATERLOO,184582,WATERLOO,NSW,2017,1914,Friendly Grocer,NARINDER SINGH,,,,,,,,,,,
IGA M TIMBERTOWN PLUS LIQUOR,44421,WAUCHOPE,NSW,2446,357,IGA Medium,RITCHIES,,,,,,,,,,,
IGA L WAUCHOPE RITCHIES,21296,WAUCHOPE,NSW,2446,18,IGA Large,RITCHIES,,,,,,,,,,,
FRIENDLY GROCER WAVERTON,21479,WAVERTON,NSW,2060,1596,Friendly Grocer,,,,,,,,,,,,
IGA L WEE WAA (CARLO'S),19269,WEE WAA,NSW,2388,442,IGA Large,CAVALLARO GROUP,,,,,,,,,,,
FOOD HALL SMKT (FGRC),5878,WENTWORTH FALLS,NSW,2782,2078,Friendly Grocer,,,,,,,,,,,,
LEMON TREE WENTWORTH FALLS (FGRC),247864,WENTWORTH FALLS,NSW,2782,1848,Friendly Grocer,,,,,,,,,,,,
IGA M WERRINGTON,18977,WERRINGTON,NSW,2747,897,IGA Medium,,,,,,,,,,,,
FRIENDLY GROCER WERRIS CREEK,15174,WERRIS CREEK,NSW,2341,980,Friendly Grocer,SUMMERS GROUP,,,,,,,,,,,
IGA M WEST HOXTON,16107,WEST HOXTON,NSW,2171,746,IGA Medium,,,,,,,,,,,,
IGA LOCAL GROCER WEST KEMPSEY,52521,WEST KEMPSEY,NSW,2440,822,IGA Local Grocer,TCG GROUP,,,,,,,,,,,
IGA LOCAL GROCER WEST PYMBLE,21968,WEST PYMBLE,NSW,2073,1146,IGA Local Grocer,,,,,,,,,,,,
FGRC WEST WALLSEND,13954,WEST WALLSEND,NSW,2286,1787,Friendly Grocer,,,,,,,,,,,,
IGA M WEST WYALONG,210855,WEST WYALONG,NSW,2671,704,IGA Medium,PAREKH GROUP,,,,,,,,,,,
BERNARDIS MARKETPLACE WEST WYALONG,40057,WEST WYALONG,NSW,2671,84,Independents Other,BERNARDI,,,,,,,,,,,
FGRC WESTLEIGH,186625,WESTLEIGH,NSW,2120,1962,Friendly Grocer,-,,,,,,,,,,,
FRIENDLY GROCER WESTMEAD,3500,WESTMEAD,NSW,2145,1983,Friendly Grocer,,,,,,,,,,,,
IGA LOCAL GROCER WESTMEAD MINT FRESH,265846,WESTMEAD,NSW,2145,1283,IGA Local Grocer,RIZK,,,,,,,,,,,
FWKS WESTON,276278,WESTON,NSW,2326,1382,Foodworks,-,,,,,,,,,,,
FOODWORKS WHALAN,53321,WHALAN,NSW,2770,1324,Foodworks,KEERAT,,,,,,,,,,,
FGRC WHEELER HEIGHTS,1910,WHEELER HEIGHTS,NSW,2097,1881,Friendly Grocer,,,,,,,,,,,,
FOODWORKS WHITEBRIDGE,38791,WHITEBRIDGE,NSW,2290,732,Foodworks,PSC FOODMART,,,,,,,,,,,
FWKS WICKHAM,242041,WICKHAM,NSW,2293,1762,Foodworks,,,,,,,,,,,,
FRIENDLY GROCER WILBERFORCE,32407,WILBERFORCE,NSW,2756,1764,Friendly Grocer,,,,,,,,,,,,
FWKS WILBERFORCE,14760,WILBERFORCE,NSW,2756,1592,Foodworks,,,,,,,,,,,,
FGRC WILLMOT,21228,WILLMOT,NSW,2770,1850,Friendly Grocer,SAHOTA TRADING,,,,,,,,,,,
FRIENDLY GROCER WINDALE,107366,WINDALE,NSW,2306,1784,Friendly Grocer,,,,,,,,,,,,
FOODWORKS WINDANG,44340,WINDANG,NSW,2528,1714,Foodworks,,,,,,,,,,,,
FRIENDLY GROCER WISEMANS FERRY,18248,WISEMANS FERRY,NSW,2775,1656,Friendly Grocer,-,,,,,,,,,,,
FOODWORKS WOLLONGBAR,32881,WOLLONGBAR,NSW,2477,1483,Foodworks,,,,,,,,,,,,
VILLAGE GROCER UOW (UNIVERSITY OF WOLLONGONG),132867,WOLLONGONG,NSW,2520,1790,Independents Other,,,,,,,,,,,,
CAMPUS & CO WOLLONGONG (FWKS),252391,WOLLONGONG,NSW,2520,2145,Foodworks,,,,,,,,,,,,
FOODWORKS WOODENBONG,39966,WOODENBONG,NSW,2476,1567,Foodworks,,,,,,,,,,,,
VICSFRESH IGA WOODRISING,19006,WOODRISING,NSW,2284,738,IGA Medium,GEORGE ACHRAM,,,,,,,,,,,
FGRC WOOLLAHRA,230253,WOOLLAHRA,NSW,2025,1761,Friendly Grocer,,,,,,,,,,,,
FRIENDLY GROCER WOOLLOOMOOLOO,13622,WOOLLOOMOOLOO,NSW,2011,1981,Friendly Grocer,,,,,,,,,,,,
IGA L WOONONA PLUS LIQUOR,53338,WOONONA,NSW,2517,304,IGA Large,MALWA,,,,,,,,,,,
FRIENDLY GROCER WOONONA EAST,41245,WOONONA EAST,NSW,2517,1818,Friendly Grocer,,,,,,,,,,,,
WORLD SQUARE SMKT,268839,WORLD SQUARE,NSW,2002,2146,Independents Other,GONG GROCER,,,,,,,,,,,
FGRC WORONORA,16306,WORONORA,NSW,2232,2029,Friendly Grocer,,,,,,,,,,,,
IGA LOCAL GROCER WORONORA HEIGHTS,47660,WORONORA HEIGHTS,NSW,2233,1531,IGA Local Grocer,-,,,,,,,,,,,
FWKS WORRIGEE,83846,WORRIGEE,NSW,2540,310,Foodworks,SAUVY,,,,,,,,,,,
IGA M WYEE VICS FRESH,92471,WYEE,NSW,2259,587,IGA Medium,,,,,,,,,,,,
IGA LOCAL GROCER NORTH WYONG,20871,WYONG,NSW,2259,550,IGA Local Grocer,HARPREET SINGH,,,,,,,,,,,
FIVE STARS NUTS SMKT (FWKS),14030,YAGOONA,NSW,2199,1393,Foodworks,,,,,,,,,,,,
FRIENDLY GROCER YAMBA,3482,YAMBA,NSW,2464,1802,Friendly Grocer,,,,,,,,,,,,
VILLAGE GROCER PLUS LOCAL LIQUOR YARRAWARRAH,92472,YARRAWARRAH,NSW,2233,1819,Independents Other,,,,,,,,,,,,
IGA L YASS,53354,YASS,NSW,2582,626,IGA Large,PAREKH GROUP,,,,,,,,,,,
FOODWORKS YENDA,5243,YENDA,NSW,2681,1817,Foodworks,YENDA,,,,,,,,,,,
IGA L YOUNG PLUS LIQUOR,2575,YOUNG,NSW,2594,155,IGA Large,KELLY GROUP,,,,,,,,,,,
CAMPUS & CO YOUNG,252974,YOUNG,NSW,2594,2207,Foodworks,,,,,,,,,,,,
FRIENDLY GROCER YOWIE BAY,14142,YOWIE BAY,NSW,2228,1901,Friendly Grocer,,,,,,,,,,,,
IGA M GREEN SQUARE PLUS LIQ,135434,ZETLAND,NSW,2017,1091,IGA Medium,ROMEL ANDRAWIS,,,,,,,,,,,
IGA M EASTSIDE SUPERMARKET + CBN,32727,ALICE SPRINGS,NT,870,516,IGA Medium,LAE SUPERMARKET,,,,,,,,,,,
IGA M FLYNN DRIVE SUPERMARKET + CBN,43153,ALICE SPRINGS,NT,870,500,IGA Medium,LAE SUPERMARKET,,,,,,,,,,,
MAI WIRU REGIONAL STORE,132287,ALICE SPRINGS,NT,870,2231,Friendly Grocer,MAI WIRU,,,,,,,,,,,
AMATA COMMUNITY STORE,112251,AMATA,NT,872,1340,Friendly Grocer,MAI WIRU,,,,,,,,,,,
IGA LOCAL GROCER VOYAGES AYERS ROCK RESORT,22107,AYERS ROCK,NT,872,265,IGA Local Grocer,ACCOR GROUP,,,,,,,,,,,
IGA LOCAL GROCER PLUS TC BERRY SPRINGS,94968,BERRY SPRINGS,NT,838,1317,IGA Local Grocer,,,,,,,,,,,,
MILNER ROAD FOODTOWN,32711,GILLEN,NT,870,1897,IGA Medium,,,,,,,,,,,,
LA GROCERS,269942,JOHNSTON,NT,832,832,Friendly Grocer,-,,,,,,,,,,,
MATARANKA SUPERMARKET,18313,MATARANKA,NT,852,1829,Friendly Grocer,,,,,,,,,,,,
FRIENDLY GROCER PLUS LIQUOR NIGHTCLIFF NT,43949,NIGHTCLIFF,NT,810,1501,Friendly Grocer,,,,,,,,,,,,
FRIENDLY GROCER STUART PARK NT,43159,STUART PARK,NT,820,2196,Friendly Grocer,,,,,,,,,,,,
IGA M TENNANT CREEK,43161,TENNANT CREEK,NT,860,49,IGA Medium,,,,,,,,,,,,
FRIENDLY GROCER WINNELLIE NT,44103,WINNELLIE,NT,820,2126,Friendly Grocer,,,,,,,,,,,,
YUENDUMU BIG SHOP,211759,YUENDUMU,NT,872,1746,Friendly Grocer,MAI WIRU,,,,,,,,,,,
IGA M ZUCCOLI,135156,ZUCCOLI,NT,832,1112,IGA Medium,,,,,,,,,,,,
IGA M ACACIA RIDGE,9985,ACACIA RIDGE,QLD,4110,613,IGA Medium,-,,,,,,,,,,,
FGRC AGNES WATER,21337,AGNES WATER,QLD,4677,2061,Friendly Grocer,,,,,,,,,,,,
FOODWORKS AGNES WATER,21562,AGNES WATER,QLD,4677,440,Foodworks,,,,,,,,,,,,
IGA L AGNES WATER (CORNETTS),219789,AGNES WATER,QLD,4677,89,IGA Large,CORNETTS,,,,,,,,,,,
FGRC JUBILEE CENTRAL AIRLIE BCH,40680,AIRLIE BEACH,QLD,4802,1164,Friendly Grocer,,,,,,,,,,,,
FOODWORKS ALEXANDRA HILLS,18839,ALEXANDRA HILLS,QLD,4161,2125,Foodworks,,,,,,,,,,,,
IGA LOCAL GROCER ALEXANDRA HILLS,6186,ALEXANDRA HILLS,QLD,4161,1431,IGA Local Grocer,,,,,,,,,,,,
FRIENDLY GROCER ALGESTER,1631,ALGESTER,QLD,4115,1437,Friendly Grocer,,,,,,,,,,,,
IGA M ALLORA,13006,ALLORA,QLD,4362,560,IGA Medium,JOHN HYSLOP,,,,,,,,,,,
FRIENDLY GROCER ANNERLEY,5006,ANNERLEY,QLD,4103,2026,Friendly Grocer,,,,,,,,,,,,
SAM COCO TRADING ANNERLEY (FOODWORKS ASSOC),10334,ANNERLEY,QLD,4103,2062,Foodworks,,,,,,,,,,,,
CUT PRICE ARAMAC   2303,21256,ARAMAC,QLD,4726,1552,Foodworks,,,,,,,,,,,,
FOODWORKS AROONA,21333,AROONA,QLD,4551,1971,Foodworks,,,,,,,,,,,,
IGA M HOPPERS ASCOT,48368,ASCOT,QLD,4007,602,IGA Medium,BRAD HOPPER,,,,,,,,,,,
DRAKES  NERANG ROAD ASHMORE,20748,ASHMORE,QLD,4214,175,Independents Other,DRAMET,,,,,,,,,,,
T-BONES FRESH FOOD MARKET,130622,ASPLEY,QLD,4034,2070,Foodworks,,,,,,,,,,,,
IGA L ATHERTON,12010,ATHERTON,QLD,4883,1,IGA Large,SHAKES,,,,,,,,,,,
FRIENDLY GROCER AUGATHELLA,33171,AUGATHELLA,QLD,4477,1569,Friendly Grocer,,,,,,,,,,,,
IGA M AUGUSTINE HEIGHTS,85523,AUGUSTINE HEIGHTS,QLD,4300,1045,IGA Medium,-,,,,,,,,,,,
IGA M AVOCA,20855,AVOCA,QLD,4670,809,IGA Medium,RANDY PANNU,,,,,,,,,,,
BANYO SUPERMARKET (FOODWORKS ASSOC),32792,BANYO,QLD,4014,1917,Foodworks,,,,,,,,,,,,
BARALABA SUPERMARKET,21739,BARALABA,QLD,4702,1248,Foodworks,JASON SIMMONS,,,,,,,,,,,
FRIENDLY GROCER BARCALDINE,18547,BARCALDINE,QLD,4725,2193,Friendly Grocer,,,,,,,,,,,,
IGA M CORNETT'S BARCALDINE,4956,BARCALDINE,QLD,4725,291,IGA Medium,CORNETTS,,,,,,,,,,,
IGA L BARINGA (WHITES),192964,BARINGA,QLD,4551,47,IGA Large,WHITES GROCERS,,,,,,,,,,,
IGA M BEACHMERE,25078,BEACHMERE,QLD,4510,282,IGA Medium,CORNWES,,,,,,,,,,,
IGA M BEAUDESERT (JONES),193613,BEAUDESERT,QLD,4285,594,IGA Medium,TYRONE JONES,,,,,,,,,,,
IGA M RIVER ROAD (RANA),282010,BEENLEIGH,QLD,4207,1744,IGA Medium,RANA,,,,,,,,,,,
FRESH & SAVE BEERWAH,13529,BEERWAH,QLD,4519,85,Independents Other,GRANT PRINCE,,,,,,,,,,,
FOODWORKS BIGGENDEN,38805,BIGGENDEN,QLD,4621,973,Foodworks,,,,,,,,,,,,
DRAKES HOLLYWELL ROAD MARKETS,33070,BIGGERA WATERS,QLD,4216,401,Independents Other,DRAMET,,,,,,,,,,,
FWKS BILOELA,18953,BILOELA,QLD,4715,1749,Foodworks,,,,,,,,,,,,
DRAKES BILOELA,85060,BILOELA,QLD,4715,156,Independents Other,DRAMET,,,,,,,,,,,
IGA LOCAL GROCER BIRKDALE,40594,BIRKDALE,QLD,4159,1077,IGA Local Grocer,,,,,,,,,,,,
IGA M BLACKALL (CORNETTS),293,BLACKALL,QLD,4472,466,IGA Medium,CORNETTS,,,,,,,,,,,
IGA M BLI BLI (WHITES),20885,BLI BLI,QLD,4560,65,IGA Medium,WHITES GROCERS,,,,,,,,,,,
BLOOMSBURY BP SMKT (FWKS),236983,BLOOMSBURY,QLD,4799,1998,Foodworks,,,,,,,,,,,,
IGA L BOONAH (RITCHIES),53193,BOONAH,QLD,4310,20,IGA Large,RITCHIES,,,,,,,,,,,
IGA M BOONDALL,53203,BOONDALL,QLD,4034,792,IGA Medium,Andy Li,,,,,,,,,,,
IGA LG BORONIA HEIGHTS,25628,BORONIA HEIGHTS,QLD,4124,880,IGA Local Grocer,ZAINS,,,,,,,,,,,
IGA L BOWEN (PERIES),38714,BOWEN,QLD,4805,57,IGA Large,PERIES,,,,,,,,,,,
IGA LOCAL GROCER BOWEN HILLS,85171,BOWEN HILLS,QLD,4006,1314,IGA Local Grocer,,,,,,,,,,,,
BRAY PARK GENERAL STORE FGRC,53038,BRAY PARK,QLD,4500,1875,Friendly Grocer,,,,,,,,,,,,
IGA LOCAL GROCER BRAY PARK,20851,BRAY PARK,QLD,4500,1262,IGA Local Grocer,JBBJ,,,,,,,,,,,
FWKS BRENDALE,20877,BRENDALE,QLD,4500,1523,Foodworks,BINISH PAPPACHAN,,,,,,,,,,,
IGA M BRIBIE ISLAND (CORNETTS),19836,BRIBIE ISLAND,QLD,4507,297,IGA Medium,CORNETTS,,,,,,,,,,,
FRIENDLY GROCER BRIGHTON,12475,BRIGHTON,QLD,4017,1052,Friendly Grocer,,,,,,,,,,,,
BRINSMEAD LOCAL STORE,17476,BRINSMEAD,QLD,4870,1996,Friendly Grocer,GREG OLUFSON,,,,,,,,,,,
METRO GROCER ADELAIDE ST,133938,BRISBANE,QLD,4000,1754,Friendly Grocer,TIKA BHURTEL,,,,,,,,,,,
CAMPUS & CO BRISBANE,228135,BRISBANE,QLD,4000,2047,Foodworks,,,,,,,,,,,,
SOUTH EAST UNITED,19148,BRISBANE,QLD,4000,2124,Foodworks,,,,,,,,,,,,
BROADBEACH GROCER & CAFE (FWKS),85284,BROADBEACH,QLD,4218,1847,Foodworks,EMPGC,,,,,,,,,,,
FGRC CENTRAL BROADBEACH,68488,BROADBEACH,QLD,4218,1716,Friendly Grocer,,,,,,,,,,,,
IGA M BUCASIA (CORNETTS),13906,BUCASIA,QLD,4750,510,IGA Medium,CORNETTS,,,,,,,,,,,
IGA M BUDDINA,183632,BUDDINA,QLD,4575,910,IGA Medium,ASHCROFT,,,,,,,,,,,
IGA LG BUDERIM PARK,33084,BUDERIM,QLD,4556,1173,IGA Local Grocer,,,,,,,,,,,,
SVENSSON STORE B'BERG INDFDC08 BUNDABERG,33296,BUNDABERG,QLD,4670,2090,Foodworks,-,,,,,,,,,,,
FOODWORKS FRESH FIELDS BUNDABERG,21030,BUNDABERG,QLD,4670,1336,Foodworks,,,,,,,,,,,,
FOODWORKS FIVEWAYS BUNDABERG,5382,BUNDABERG,QLD,4670,2019,Foodworks,LETA GROUP P/L,,,,,,,,,,,
FWKS CORAL COVE BUNDABERG,21109,BUNDABERG,QLD,4670,1852,Foodworks,,,,,,,,,,,,
FOODWORKS LEARMONTH'S BUNDABERG,18686,BUNDABERG,QLD,4670,518,Foodworks,,,,,,,,,,,,
IGA L NORTH BUNDABERG (CORNETTS),22358,BUNDABERG,QLD,4670,42,IGA Large,CORNETTS,,,,,,,,,,,
IGA L BUNDABERG CENTRAL (CORNETTS),9752,BUNDABERG CENTRAL,QLD,4670,99,IGA Large,CORNETTS,,,,,,,,,,,
IGA LOCAL GROCER BUNDABERG NORTH,21172,BUNDABERG NORTH,QLD,4670,1078,IGA Local Grocer,,,,,,,,,,,,
IGA M BUNDAMBA,103318,BUNDAMBA,QLD,4304,581,IGA Medium,,,,,,,,,,,,
FWKS BURLEIGH WATERS,44083,BURLEIGH WATERS,QLD,4220,1783,Foodworks,,,,,,,,,,,,
IGA LOCAL GROCER BURNETT HEADS,52517,BURNETT HEADS,QLD,4670,1117,IGA Local Grocer,-,,,,,,,,,,,
FWK BURNSIDE (NAMBOUR),40650,BURNSIDE,QLD,4208,1235,Foodworks,,,,,,,,,,,,
IGA L BURPENGARY (SEASONS),24038,BURPENGARY,QLD,4505,190,IGA Large,SEASONS GROUP,,,,,,,,,,,
FOODWORKS BURRUM HEADS,52382,BURRUM HEADS,QLD,4659,1179,Foodworks,,,,,,,,,,,,
FRIENDLY GROCER CABOOLTURE,52559,CABOOLTURE,QLD,4510,1720,Friendly Grocer,,,,,,,,,,,,
FGRC MCKEAN ST,32574,CABOOLTURE,QLD,4510,1446,Friendly Grocer,,,,,,,,,,,,
DRAKES PUMICESTONE,208663,CABOOLTURE,QLD,4510,90,Independents Other,DRAKES,,,,,,,,,,,
FRIENDLY GROCER CAIRNS,9222,CAIRNS,QLD,4870,1537,Friendly Grocer,,,,,,,,,,,,
FRIENDLY GROCER YORKEYS KNOB CAIRNS,12028,CAIRNS,QLD,4870,1661,Friendly Grocer,,,,,,,,,,,,
PALMS SUPERMARKET CAIRNS CITY,39758,CAIRNS CITY,QLD,4870,1684,Friendly Grocer,,,,,,,,,,,,
XPRESS FOOD AND GROCERY (FGRC),13674,CAIRNS NORTH,QLD,4870,2034,Friendly Grocer,,,,,,,,,,,,
RUNFRESH SUPERMARKET FWKS,246470,CALAMVALE,QLD,4116,2178,Foodworks,-,,,,,,,,,,,
DRAKES CALLIOPE,38733,CALLIOPE,QLD,4680,41,Independents Other,DRAMET,,,,,,,,,,,
IGA M CALOUNDRA (SEASONS),18571,CALOUNDRA,QLD,4551,256,IGA Medium,SEASONS GROUP,,,,,,,,,,,
IGA M BELLVISTA,52531,CALOUNDRA WEST,QLD,4551,754,IGA Medium,SACHIN RABADE,,,,,,,,,,,
CAMBOOYA STORE (FWKS),205727,CAMBOOYA,QLD,4358,1809,Foodworks,,,,,,,,,,,,
FRIENDLY GROCER CANNON HILL,33127,CANNON HILL,QLD,4170,1781,Friendly Grocer,,,,,,,,,,,,
IGA LOCAL GROCER CANNON HILL,39883,CANNON HILL,QLD,4170,1126,IGA Local Grocer,-,,,,,,,,,,,
IGA M CANUNGRA,32398,CANUNGRA,QLD,4275,609,IGA Medium,YITMOS INV,,,,,,,,,,,
FRIENDLY GROCER MARIDALE PARK,32742,CAPALABA,QLD,4157,1973,Friendly Grocer,,,,,,,,,,,,
FGRC CARDWELL,43889,CARDWELL,QLD,4849,938,Friendly Grocer,,,,,,,,,,,,
IGA M CHRISS CARINA,33248,CARINA,QLD,4152,328,IGA Medium,-,,,,,,,,,,,
IGA LOCAL GROCER STANLEY RD MEGAFRESH,262034,CARINA,QLD,4152,567,IGA Local Grocer,,,,,,,,,,,,
