Store,Storeid,Suburb,State,Postcode,RANK,Banner,Group,,,,,,,,,,,
FGRC ANNANDALE,52557,ANNANDALE,NSW,2038,1791,Friendly Grocer,,,,,,,,,,,,
IGA LOCAL GROCER ANNANDALE,14557,ANNANDALE,NSW,2038,1367,IGA Local Grocer,GANLI,,,,,,,,,,,
SUPABARN ANNANDALE,84865,ANNANDALE,NSW,2038,531,Independents Other,SUPABARN GROUP,,,,,,,,,,,
IGA M APPIN,83590,APPIN,NSW,2560,647,IGA Medium,GEORGE ACHRAM,,,,,,,,,,,
FOODWORKS ARDLETHAN,11646,ARDLETHAN,NSW,2665,1727,Foodworks,,,,,,,,,,,,
FWKS ARIAH PARK,33139,ARIAH PARK,NSW,2665,1851,Foodworks,,,,,,,,,,,,
CAMPUS & CO ARMIDALE (FWK,252810,ARMIDALE,NSW,2350,2120,Foodworks,,,,,,,,,,,,
FRESH & SAVE ARMIDALE (ARMIDALE PLAZA),276496,ARMIDALE,NSW,2350,103,Independents Other,GRANT PRINCE,,,,,,,,,,,
FRIENDLY GROCER ARNCLIFFE,52558,ARNCLIFFE,NSW,2205,1966,Friendly Grocer,,,,,,,,,,,,
IGA ARNCLIFFE,21039,ARNCLIFFE,NSW,2205,924,IGA Medium,PRITI & RAJESHWAR MEHROTRA,,,,,,,,,,,
CENTRO ARTARMON,257507,ARTARMON,NSW,2064,1663,Friendly Grocer,,,,,,,,,,,,
IGA L SUMMER CENTRE (ASHCROFT),21751,ASHCROFT,NSW,2168,118,IGA Large,ASHCROFT,,,,,,,,,,,
FWKS ASHMONT,20863,ASHMONT,NSW,2650,1509,Foodworks,,,,,,,,,,,,
ZAMZAM VILLAGE GROCER FGRC,125155,AUBURN,NSW,2144,2198,Friendly Grocer,-,,,,,,,,,,,
FGRC AVALON,46961,AVALON,NSW,2107,1686,Friendly Grocer,,,,,,,,,,,,
FRIENDLY GROCER AVOCA BEACH,4805,AVOCA BEACH,NSW,2251,1718,Friendly Grocer,,,,,,,,,,,,
IGA BALGOWLAH HEIGHTS,2424,BALGOWLAH HEIGHTS,NSW,2093,761,IGA Medium,DVKAR,,,,,,,,,,,
SUPA VALU RITCHIES BALLINA,21510,BALLINA,NSW,2478,149,IGA Large,RITCHIES,,,,,,,,,,,
FRIENDLY GROCER BALMAIN,133871,BALMAIN,NSW,2041,1691,Friendly Grocer,NARINDER SINGH,,,,,,,,,,,
EAST BALMAIN FGRC AND PORTERS LIQ,224975,BALMAIN EAST,NSW,2041,1924,Friendly Grocer,CYAUP,,,,,,,,,,,
FOODWORKS BALRANALD,3729,BALRANALD,NSW,2715,1643,Foodworks,,,,,,,,,,,,
IGA M BALRANALD (DOYLES),844,BALRANALD,NSW,2715,715,IGA Medium,,,,,,,,,,,,
FOODWORKS BANGALOW,21090,BANGALOW,NSW,2479,1111,Foodworks,MATT RIDDERHOF,,,,,,,,,,,
FGRC BANGOR,53355,BANGOR,NSW,2234,1429,Friendly Grocer,-,,,,,,,,,,,
IGA LOCAL GROCER BANORA POINT,21092,BANORA POINT,NSW,2486,1975,IGA Local Grocer,,,,,,,,,,,,
FGRC BARADINE,22040,BARADINE,NSW,2396,1067,Friendly Grocer,BUSMA,,,,,,,,,,,
FRIENDLY GROCER BARELLAN,553,BARELLAN,NSW,2665,1799,Friendly Grocer,,,,,,,,,,,,
IGA L BARGO,98518,BARGO,NSW,2574,321,IGA Large,KHAN,,,,,,,,,,,
FOODWORKS BARHAM,9020,BARHAM,NSW,2732,651,Foodworks,,,,,,,,,,,,
IGA M BARHAM,11305,BARHAM,NSW,2732,705,IGA Medium,,,,,,,,,,,,
